Structure [idcode]	Molecule Name	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	
fjcHB@AJSdDPdrmrlvjtyitRis@DMPTBaD@@	Compound 360	Estazolam			CNS	294.744	2.3861	-6.268	2.3845	4	0	218.15	0.24771	0.85699	21	275 <= x < 300	
ek`XLD@LFNC`HaRHRUf][Vum[e\|RrZzfvjij`@jjjjbh@@	Compound 361	Estramustine			non-CNS	440.409	5.4757	-5.835	5.4757	4	1	318.27	0.40501	0.87338	29	425 <= x < 450	
fjcA`@@YJdrmkZwKtYIUgAS@AUUUUQT@@	Compound 362	Estriol			non-CNS	288.386	3.0245	-3.621	3.024	3	3	205.78	0.20702	0.86692	21	275 <= x < 300	
fmoYb@B\\GLuFRBHrJIKJJJYIJHsIZcMVbT\x@Jfh`Xjj@hRH@@	Compound 363	Eszopiclone	6.92	8.76	CNS	388.814	0.7142	-1.742	0.59784	9	0	273.92	0.34011	0.90425	27	375 <= x < 400	
fly@Q@FZCDDPRHRYfy{yodhHbIif`@@	Compound 364	Ethacrynic acid		2.8	non-CNS	303.140	3.1325	-4.168	-1.4706	4	1	218.48	0.53645	0.77872	19	300 <= x < 325	
dgmD@LDCRVUuejjjj`@	Compound 365	Ethambutol	9.55		non-CNS	204.313	-0.3822	-0.836	-2.537	4	4	181.2	0.77479	0.45134	14	200 <= x < 225	
ffu``@L@Xdm[jjjjkUUUSUUTDDPM@	Compound 366	Ethanolamine oleate	7.8		non-CNS	311.508	4.8907	-4.063	4.3477	3	2	289.72	0.70938	0.47083	22	300 <= x < 325	
diDH`BBHRUkYjncJHb@	Compound 367	Ethchlorvynol			CNS	144.600	1.2579	-2.175	1.2579	1	1	122.01	0.61709	0.67701	9	125 <= x < 150	
dcND@LADf^e]]Zjnj@@	Compound 368	Ethinamate			non-CNS	167.207	0.9809	-2.857	0.9809	3	1	139.29	0.44506	0.57233	12	150 <= x < 175	
dmu@`DD@cHihdh^Eh@J@@	Compound 369	Ethionamide	5		non-CNS	166.247	1.2574	-1.367	1.2557	2	1	139.27	0.53094	0.65917	11	150 <= x < 175	
deVD@D@TfVgJfjijLh@	Compound 370	Ethosuximide			CNS	141.169	0.3253	-1.426	0.3251	3	1	109.41	0.34229	0.7167	10	125 <= x < 150	
foAP`@DXAsHhhddXdbLlyjih@H`p`@	Compound 371	Ethotoin			CNS	204.228	1.0597	-1.79	1.0596	4	1	155.54	0.425	0.70389	15	200 <= x < 225	
fjcA@@@YEHiDdkLeLePVc^CdmUUUUUMUP@@	Compound 372	Ethylestrenol			non-CNS	288.473	4.6255	-4.611	4.6255	1	1	223.5	0.30586	0.85699	21	275 <= x < 300	
fc@P@@HFoHhmHeHlcLeLediHsoIrwkUUuUUUMTuT@@	Compound 373	Ethynodiol diacetate			non-CNS	384.514	3.9091	-5.086	3.9091	4	0	293.7	0.29826	0.90271	28	375 <= x < 400	
dmTNPHSFFUCpkprRRrJQjjZ@@	Compound 374	Etidronate		0.7	non-CNS	206.027	-7.0768	1.568	-13.781	7	5	115.46	0.62106	0.75684	11	200 <= x < 225	
fnkHA@N^bTDPxHRYeg[Y]UYJwgARVBAbZiZjJP@@	Compound 375	Etizolam			CNS	342.853	3.5967	-7.111	3.5959	4	0	252.37	0.27849	0.9255	23	325 <= x < 350	
fa{@`@@ErJIJYJZKIQJHtYKSoQrtuUSUUU]T@@	Compound 376	Etonogestrel			non-CNS	324.462	3.7811	-4.65	3.7811	2	1	248.03	0.28406	0.93319	24	300 <= x < 325	
eePpK@@@DGJfaimghZV^\bbTtRbbRRRRbTRRRT|rVqCDb`QRWVqrNOHkUUPA@DTUUUUUUTEP@@	Compound 377	Etoposide			non-CNS	588.560	0.6726	-3.952	0.66753	13	3	395.38	0.35756	1.0119	42	575 <= x < 600	
fakPa@B^jtDQdHRYUVYU_VjL]DJX@J@@@JV@@@	Compound 378	Etoricoxib			non-CNS	358.848	3.0731	-5.411	3.0715	4	0	258.82	0.42968	0.807	24	350 <= x < 375	
fleQb@LTtZp@cIEEDeEhdUlL}FijjVjjhHhaa@	Compound 379	Etozoline			non-CNS	284.379	2.066	-1.512	2.0622	5	0	214.38	0.37027	0.74806	19	275 <= x < 300	
fcoYB@JLxX^r@qLbbbbQbTTRlRRQSI^Sv\DE@QE@PYX@@@	Compound 380	Etravirine			non-CNS	435.284	4.5016	-8.952	4.5014	7	2	306.85	0.43778	0.7971	28	425 <= x < 450	
fekA`@@HGdTRRfrTVTTTTnJujZfZXBHj@DIBeUh	Compound 381	Etretinate			non-CNS	354.488	6.4524	-4.661	6.4524	3	0	313.01	0.40932	0.73369	26	350 <= x < 375	
ffs@`@@URYVymunVgEF|EIVeijjjjZh@@	Compound 382	Exemestane			non-CNS	296.409	3.6076	-3.947	3.6076	2	0	220.6	0.25439	0.89747	22	275 <= x < 300	
eghXLD@NEJn`IBzPRYWYgYU^^uzFIMDbmch@JfhHHj@BH@@@	Compound 383	Ezetimibe			non-CNS	409.431	4.1644	-4.763	4.1608	4	2	297.75	0.44037	0.84401	30	400 <= x < 425	
ff}pb@ANBgHICHhdldhdhTieQeoP@U@DTu@@@	Compound 384	Ezogabine			CNS	303.336	2.4614	-4.346	2.4612	5	3	238.34	0.53905	0.68273	22	300 <= x < 325	
dcmH@DHDfY{TfWVj`@P@@	Compound 385	Edaravone		7.83	CNS	160.176	1.5578	-1.829	1.5578	3	0	126.33	0.42727	0.63444	12	150 <= x < 175	
fjcQ@DEI@fTfUnV^uvgIJlyNX@`H`HBH@@@	Compound 386	Elliptinium acetate		9.65	non-CNS	277.346	-0.3721	-4.508	-0.37453	3	2	207.06	0	0.93215	21	275 <= x < 300	
fikQP@BZ@bPXyEMEDiXmEDUDepWQmUTuUMP@QcDUKH@	Compound 387	Enalaprilat	7.83	3.13	non-CNS	348.398	-0.8587	-2.049	-5.1258	7	3	266.03	0.62549	0.76113	25	325 <= x < 350	
fleQP@DX@ITTyEEDeDdmDbsakMUMMUUT@@	Compound 388	Epervudine		9.95	non-CNS	270.284	-0.5782	-1.544	-0.57943	7	3	193.21	0.44988	0.8085	19	250 <= x < 275	
fb}@`@@YrJJQIFYIIKDyKUgQRuUTuPATFDHdt`@	Compound 389	Equilin		9.41	non-CNS	268.355	3.9158	-3.807	3.9116	2	1	198.04	0.13065	0.90168	20	250 <= x < 275	
ehRVD@@IDlngo`NLdTrTRttRRTrRbefVXDbJzv^~h@bjBBBBhehB@@@	Compound 390	Erdafitinib	9.7200003		non-CNS	446.553	1.524	-4.522	-0.79609	8	1	355.94	0.4994	0.88197	33	425 <= x < 450	
ffcPB@NA@DYHhhhddmcELj\e[Sj@H@`jjhH^H@@	Compound 391	Ethopropazine	9.6		CNS	312.480	4.7184	-4.773	2.5148	2	0	248.17	0.42196	0.82089	22	300 <= x < 325	
fj}a`@I@QSHieHeDdbeEeFlzNVjjfj@b``R`@	Compound 392	Etodolac		4.73	CNS	287.358	2.9812	-3.529	0.30721	4	2	221.76	0.38643	0.91337	21	275 <= x < 300	
fnchP@MASUhDBMdTVTRRTTLRVdTejuUUSTBAP@@	Compound 393	Famciclovir			non-CNS	321.336	0.3028	-2.189	0.30087	9	1	249.42	0.58802	0.76987	23	300 <= x < 325	
fbexc@LDXXJ\pP@HdD^BLddNfRRbRrcoKSUUKSTBAD	Compound 394	Famotidine	8.45		non-CNS	337.452	-1.113	-3.557	-2.1353	9	4	235.33	0.66985	0.62054	20	325 <= x < 350	
fhqPP@LA@aWdf]fUWcNZj``a`@@	Compound 395	Felbamate			CNS	238.242	0.7174	-2.819	0.7174	6	2	185.82	0.50774	0.58251	17	225 <= x < 250	
f`i`@@@YHheEMDUnBdYwjjj``J@@@	Compound 396	Fencamfamine	10.56		non-CNS	215.339	3.2077	-3.412	0.044259	1	1	175.02	0.37798	0.73284	16	200 <= x < 225	
f`a`C@C@dDRFICHiCDeBhlJUT@EUQCQ@@	Compound 397	Fenfluramine	10.22		CNS	231.260	3.06	-3.06	0.24392	1	1	178.72	0.66094	0.655	16	225 <= x < 250	
fik@R@A^KTDQdTRVTtRVRdTjeFV]@AL@EUMT@@@	Compound 398	Fenofibrate			non-CNS	360.836	4.389	-5.538	4.389	4	0	275.89	0.6281	0.71389	25	350 <= x < 375	
fj}ab@GDDTDQdTTTtRLRaRsIV\gLDEEU@ADPUP@	Compound 399	Fenoldopam	10.06	8.12	non-CNS	305.760	2.3636	-2.95	-0.64155	4	4	219.23	0.30218	0.84632	21	300 <= x < 325	
fi{Q@@DAAdTTRbfRRqRTRQoNCt[UPTEET@A@@@	Compound 400	Fentanyl	8.77		CNS	336.477	4.4164	-3.826	3.0305	3	0	278.95	0.52885	0.69646	25	325 <= x < 350	
eb^^HH@DEMO`T\Y@@cHhhcEEMBdhddbhheEeiXtL}BcbuUKUUPPQA@qRB@@@	Compound 401	Fimasartan		5.85	non-CNS	501.657	4.0607	-6.96	0.8931	8	1	399.92	0.53157	0.90194	36	500 <= x < 525	
fmoP`@DMAWHhdiheBeMDcLiJLUiwhyZfjjjjijjj@@	Compound 402	Finasteride			non-CNS	372.551	3.1604	-4.433	3.1604	4	2	282.01	0.36262	0.90322	27	350 <= x < 375	
ek`XB@@N`A@hlbbbbbQfbfVVrbRXDTlrjvNZAhJ@XHjjhH@@	Compound 403	Flavoxate	7.29		non-CNS	391.466	4.5588	-4.388	4.3081	5	0	303.32	0.39165	0.88492	29	375 <= x < 400	
fcwQa`KYhXHIADabPGHSdErFQREJJIQEIJIIRKSn{jjBAbjjjjJDZ@@	Compound 404	Flecainide	9.62		non-CNS	414.345	3.2379	-4.556	1.0187	5	2	288.17	0.53159	0.77499	28	400 <= x < 425	
fegqc@BLKd\pRBiAladTTTTTTRQRVVTyitPe`bJbjfZib`@@	Compound 405	Fleroxacin	5.99	5.32	non-CNS	369.342	-0.3848	-2.883	-2.3481	6	1	257.59	0.34771	0.92104	26	350 <= x < 375	
fhiQR@JLIIW``dDfYu[UV\MZejfjjh@@	Compound 406	Floxuridine		8.08	non-CNS	246.193	-1.4898	-1.503	-1.6735	7	3	162.54	0.41486	0.78821	17	225 <= x < 250	
egh\JL@I@jmOBck`HcbPZBLbbbTTjfTJbbrRbc@fafUWPtADMMMTuUSEP@@	Compound 407	Flucloxacillin		3.75	non-CNS	453.877	2.8046	-4.365	-0.84796	8	2	299.78	0.41397	0.96208	30	450 <= x < 475	
fakiq@CARwlDXIqU`^EYCIILUDhlihdmEKTTeZuUUUTBDU@@@	Compound 408	Fludarabine		1.22	non-CNS	365.213	-4.6835	-1.33	-10.742	12	5	227.64	0.4508	0.90271	24	350 <= x < 375	
ffcqb@IJBINPRFQQISQZJEKSJgMV|F@HZjefhh@@	Compound 409	Flumazenil			CNS	303.292	0.9739	-4.403	0.97387	6	0	221.67	0.1973	0.91193	22	300 <= x < 325	
eghT@D@AD`IBjPRYWYfUWuueZFODhlckh@JjB`bi`@H@HFh	Compound 410	Flunarizine	7.22		CNS	404.502	5.4576	-4.427	5.0461	2	0	320.38	0.40421	0.75761	30	400 <= x < 425	
fiwAP@@HCt^QQJJIJJKQIGYDhku`ijUkTE@@D@ATP@@@	Compound 411	Fluorescein			non-CNS	332.310	3.7285	-4.271	3.7082	5	2	226.64	0.095201	0.9148	25	325 <= x < 350	
ff}aC@LjAHHdLRFQRFIKIQQIIXTdej`@j``bBFj@@	Compound 412	Fluoxetine	9.8		CNS	309.330	3.6241	-3.561	1.2192	2	1	236.22	0.47979	0.67908	22	300 <= x < 325	
ff}Hb@AJ\ENPRFQQIYIQIPiSJcK^`@j@Hij@@@	Compound 413	Flupirtine	7.5		CNS	304.324	2.1633	-4.601	1.8082	6	3	237.1	0.48038	0.71581	22	300 <= x < 325	
fmwqA@AJ[dDPFPrJIJZIJJZIKGQJgMNSV@HZ`jAbjb@@@	Compound 414	Flurazepam	8.71		CNS	387.885	3.5978	-5.009	2.2667	4	0	295.93	0.43474	0.87083	27	375 <= x < 400	
fdy@b@@qAHILrrkssIF}A@AAPpPUP@	Compound 415	Flurbiprofen		4.42	CNS	244.264	3.3303	-4.362	0.3516	2	1	188.23	0.48671	0.7177	18	225 <= x < 250	
el^\HD@Hakc`IAJPrJIKJJIIKISIZJJJUJaapIkkZzEF@BhHHjjji`@B`@@	Compound 416	Fluspirilene	9.31		CNS	475.581	5.5386	-5.842	3.6212	4	1	361.28	0.47808	0.86659	35	475 <= x < 500	
fa{QA@AJrBHCHYEDeMDeEMDecJ\tyMV}`BFhJ`Xhb@@	Compound 417	Flutoprazepam			CNS	342.800	3.8098	-5.802	3.8098	3	0	246.35	0.28514	0.87527	24	325 <= x < 350	
eg`XBH@CFick`ICHhdlhhhddmEYeLiPphYxe@AREAIUUTq@D@T@	Compound 418	Fluvastatin		4.54	non-CNS	411.471	3.9775	-4.813	1.1339	5	3	316.01	0.49357	0.89985	30	400 <= x < 425	
ffmPc@MYlTD`bPqHYEHXdlhdddeaRj`@fjjj@PU@	Compound 419	Fluvoxamine	8.86		CNS	318.338	3.15	-3.757	1.3795	4	1	249.03	0.60846	0.68031	22	300 <= x < 325	
gFt@ADi_FZd@	Compound 420	Fomepizole			non-CNS	82.1056	-0.1029	-0.533	-0.1029	2	1	73.85	0	0.69315	6	75 <= x < 100	
fcoqb@NRsYNpQFQQQJKZJHqQKQYY`jcWn@bJihFBbhH@@	Compound 421	Fominoben	5.55	15.49	non-CNS	401.893	2.3552	-2.85	2.3479	6	1	307.32	0.56522	0.77373	28	400 <= x < 425	
eodQ@@@@KGOHlbfldTRbRbrbtRrarRRhDLBrJjZB@B`iJYZjjB`@@	Compound 422	Forasartan		5.8	non-CNS	416.531	4.087	-4.469	3.7597	8	1	344.71	0.53346	0.86921	31	400 <= x < 425	
ffsA`@@DkdTTVfbTJTtRYsQoARUjZjjjjfj@@	Compound 423	Formestane			non-CNS	302.412	3.1401	-4.043	3.1334	3	1	217.19	0.26832	0.88894	22	300 <= x < 325	
fikPP@DV@sWTeYg^uge]EJkV``Jjj@B`@@	Compound 424	Formoterol	9.81	8.61	non-CNS	344.410	1.5007	-3.102	-0.91252	6	4	275.22	0.60016	0.7268	25	325 <= x < 350	
enY\ID@LLjhDKFnamcjP@aKprRPqQIIQQYPjQIqSIJKHrJDfeeZhJBjJijfBBb``@@	Compound 425	Fosamprenavir		1.25	non-CNS	585.613	-0.9872	-2.162	-7.1645	12	4	419.68	0.57533	0.84166	39	575 <= x < 600	
daDB`HSJCprRRsTsUU@@	Compound 426	Fosfomycin		1.25	non-CNS	138.059	-2.8214	0.188	-8.9709	4	2	91.38	0.59911	0.77276	8	125 <= x < 150	
enYXNH@MHDAELem`OCIILdhhdiheCDlieKDdefndZRVVjjfjjfjihJBbb@@@	Compound 427	Fosinopril		3.87	non-CNS	563.669	5.3486	-4.016	1.8186	8	1	438.09	0.60478	0.83144	39	550 <= x < 575	
fi{Pr@FJ`cAIZAxYIIbhhiXhhddlhq^mFuUSMP@@A@@@	Compound 428	Fosphenytoin		1.46	CNS	362.277	-1.8214	-1.521	-7.7607	8	3	247.42	0.47335	0.80949	25	350 <= x < 375	
ea]VID@FIDjemhDLBMGH\ZPO@ZPrRSEQQQJZJOQJJUQIQIKFN^YSK@hmUTCDUDAAPAEUP@@@	Compound 429	Fostamatinib	1.05	1.67	non-CNS	580.464	-0.9419	-4.598	-5.2511	15	4	404.82	0.43206	0.93298	40	575 <= x < 600	
ee[VK@@AMHalYPLEGOBfekg`^Q\dTTRbRfLTrafRfrVbTTrUDbUTvqMMUUUUUUUUUUUUUUP@@	Compound 430	Framycetin	9.74		non-CNS	614.647	-9.5965	0.16	-12.168	19	13	407.61	0.5118	0.97335	42	600 <= x < 625	
fdeq@@DJBAInUmmWxIVg^Z@BfjhjCj@@	Compound 431	Frovatriptan	10.42		CNS	243.309	1.0987	-2.939	-1.923	4	3	187.7	0.25881	0.86049	18	225 <= x < 250	
eiSPLF@HNQP@aRPtdGICrPBdLdfRRRdQdURRbbTTRRbRqVvnaQIiYZjjjjjjjjjBjBb`@@	Compound 432	Fulvestrant			non-CNS	606.778	8.6163	-7.862	8.6158	3	2	439.84	0.54968	0.90374	41	600 <= x < 625	
f`qqPBHRTAAKNaJNR[e]YegG^ZfijZXDAP	Compound 433	Furazolidone			non-CNS	225.160	0.1235	-3.174	0.1235	8	0	163.45	0.4062	0.63962	16	225 <= x < 250	
fjmQQ@IZxIwh`bBAFQQQJQJiQFILUdlDBqTuMB@@	Compound 434	Furosemide		4.25	non-CNS	330.747	0.7685	-3.329	-2.3803	7	3	224.55	0.50513	0.80188	21	325 <= x < 350	
ejQPF@@@DMFnbRaHrDaDaHQHQLRHqHRDPXcDrLdLBrNnaQZZjjjijfjjjjj`HLD	Compound 435	Fusidic acid		4.46	non-CNS	516.716	5.823	-5.363	3.0865	6	3	386.31	0.40011	0.98277	37	500 <= x < 525	
ff}Qb@LAUjH@cIEEMDheYedibeoTsALD]UP@@	Compound 436	Febuxostat	0.39	3.08	non-CNS	316.380	3.1245	-3.955	-1.1972	5	1	246.57	0.37443	0.77499	22	300 <= x < 325	
fdyA`@@HTdwMk_JrtFKU@DP@ACA@@	Compound 437	Fenoprofen		3.96	CNS	242.273	2.9659	-4.259	-0.47528	3	1	191.88	0.60265	0.65788	18	225 <= x < 250	
eghTHL@CDa@HaRHzBLbbbRbrrbbRQrTRSGBVUSQutAAUUPJAP@DDEA@@	Compound 438	Fenticonazole nitrate	6.48		non-CNS	455.408	5.4595	-5.395	5.3685	3	0	338.85	0.47084	0.78472	30	450 <= x < 475	
fga`@F`QgHheECDeLhddmihihu^mU@PUAPQUTDET@@	Compound 439	Fesoterodine	1.64		CNS	411.584	5.2879	-4.631	2.0508	4	1	342.26	0.49877	0.79818	30	400 <= x < 425	
eghTHB@Jek`@aJPrdBiCIEEEDdelliEXdleQqIYhyLmPA@BEUUUUTDAAi@	Compound 440	Flupenthixol	8.3		CNS	434.525	4.9219	-3.962	3.8546	3	1	314.71	0.41918	0.85449	30	425 <= x < 450	
fewPA@AQAHSdLbbbRdLTTRRRNsNQRWkQpDEU@B`@QABa@@	Compound 441	Flutrimazole	6.26		non-CNS	346.379	4.9624	-7.608	4.8952	2	0	263.61	0.41987	0.88345	26	325 <= x < 350	
ebR\M@@BGE`DACKAi`XT\\bfbbRRbQbbRRbUfRbgVsUUUMUAPMETsDFA@@	Compound 442	Gadobenate dimeglumine	8.76	1	non-CNS	513.498	-7.1488	1.15	-13.546	14	5	384.76	0.79263	0.71956	36	500 <= x < 525	
fkghH@BJugXDRbd\uyELhdhlidhcDeEJuUSUUMUSM@@@	Compound 443	Gadodiamide	8.16	1.12	non-CNS	419.433	-8.52	2.488	-16.321	13	5	323.48	0.87212	0.66071	29	400 <= x < 425	
fmkph@BZRADeAct\uyELhdhcDeDXdhhuUSUTuULp@@	Compound 444	Gadopentetate dimeglumine	8.76	1.07	non-CNS	393.348	-8.4274	2.472	-14.757	13	5	288.74	0.87028	0.63297	27	375 <= x < 400	
fjca`@L`xgIEEEDhdddcRTdxpXyhJ`jbZjJ@@	Compound 445	Galantamine	8.58		CNS	287.358	1.1901	-2.665	-0.33265	4	1	210.88	0.18568	0.95865	21	275 <= x < 300	
ebR\L@LEFn`FAEIZgj\dTRbbRVdVRRUdTbRRTaeAQEEUUUUUUU@@@	Compound 446	Gallamine triethiodide			non-CNS	510.824	-4.6077	-1.844	-4.6077	6	0	437.64	0.68322	0.66485	36	500 <= x < 525	
gNq`@fdvkUP@	Compound 447	Gamma hydroxybutyric acid		4.44	CNS	104.105	-0.317	-0.492	-3.2766	3	2	85.23	0.78805	0.53648	7	100 <= x < 125	
fmopR@B^SHLu`dLbbbTTRRRbaflTXjrXezNBBhjijjibZAb@@	Compound 448	Gatifloxacin	8.73	5.49	non-CNS	375.399	-1.2717	-3.716	-2.9947	7	2	266.05	0.31621	0.9569	27	375 <= x < 400	
eodRLD@AEOIlbg`H`bPRYg]ee]U]YUcbsrIJyzB@h@@BjjjhB@@@	Compound 449	Gefitinib	6.84		non-CNS	446.909	3.9851	-5.062	3.878	7	1	333.75	0.35986	0.85557	31	425 <= x < 450	
fdypQ@FVcSao@dDRFQRZJZYQKF`gAjjjifZ`@@	Compound 450	Gemcitabine			non-CNS	263.199	-2.0433	-1.578	-2.0433	7	3	169.61	0.40101	0.85046	18	250 <= x < 275	
fdiA`@@HedTtbJRbbV|Ejjj@``@@	Compound 451	Gemfibrozil		4.42	non-CNS	250.337	3.5547	-3.244	0.57105	3	1	208.09	0.58625	0.59852	18	250 <= x < 275	
fchR@BTtd[nsVBPrJJIJIIJJI[QIPlxZw`u[@PUUMSUTtSPlQBJ@	Compound 452	Gemifloxacin	9.32	5.34	non-CNS	389.386	-1.6317	-4.09	-3.7693	9	2	272.58	0.30178	0.93257	28	375 <= x < 400	
eh\ZN@@AEHfk`LOLnegldTTRbfatTLJTrbrbXdRJvNjjjjjjjjjjjh@@	Compound 453	Gentamicin	10.12		non-CNS	477.600	-4.2052	-1.181	-6.9902	12	8	345.02	0.53467	0.91047	33	475 <= x < 500	
fcop@D@MzB\dbaRrbbbRRvRbgAQKfkUKM@@@EUT@@@	Compound 454	Gentian violet			non-CNS	372.534	0.6992	-3.473	0.69804	3	0	302.61	0.41083	0.75973	28	350 <= x < 375	
fnk@`@@YRYVum[[ghrRk^CEijjjijkj`@@	Compound 455	Gestodene			non-CNS	310.435	3.2626	-4.359	3.2626	2	1	238.02	0.285	0.91313	23	300 <= x < 325	
fnk@`@@YrJIJYJYIJIQFcIZlxJVfijZjjnj@@	Compound 456	Gestrinone			non-CNS	308.420	3.329	-4.059	3.329	2	1	235.94	0.2259	0.93236	23	300 <= x < 325	
ffcqb@LRMA@`AFRREQQKKQIYKUhiKUZ`XHjjhh@@	Compound 457	Gliclazide		4.07	non-CNS	323.416	1.1331	-3.068	-2.1966	6	2	231.87	0.42201	0.69969	22	300 <= x < 325	
edRRJH@LIJihDAAc`@cIIBhheehddleihhleiXdU\|mPLDUUUSTuTR@@@	Compound 458	Glimepiride		4.32	non-CNS	490.623	3.5186	-4.409	0.43842	9	3	367.55	0.60148	0.79383	34	475 <= x < 500	
eohZBH@LIJichDAN`@cIIBhheehddmeMDemKDbckejA`bjji`@b@@@	Compound 459	Glipizide		4.32	non-CNS	445.542	1.8635	-3.446	-1.2167	9	3	336.58	0.51848	0.74882	31	425 <= x < 450	
ejQ\FH@LIJhDAAelP@cIIBhheehddmhhiihdUmKDbmchTUjA`bjjjY`hBb`@@	Compound 460	Gliquidone		4.32	non-CNS	527.640	3.6785	-5.288	0.59832	9	2	387.08	0.5258	0.89504	37	525 <= x < 550	
eohZJH@LICFehDAAc`@cIIBhheehdddbihemKBjckejA`bjjjYib`@@	Compound 461	Glisoxepide		4.06	non-CNS	449.530	1.035	-3.517	-2.2985	10	3	339.07	0.50534	0.74343	31	425 <= x < 450	
dcNJ@NCIWTify^ajjjj@@	Compound 462	Glucosamine	8.23		non-CNS	179.171	-3.0186	0.175	-3.9083	6	5	120.18	0.46717	0.74432	12	175 <= x < 200	
fbypr@L\BpSoIr@HrIQJJ[IJJVUTsUSTp@@	Compound 463	Glutathione	9.31	3.74	non-CNS	307.326	-4.8991	-0.99	-10.363	9	5	224.54	0.69513	0.61292	20	300 <= x < 325	
eh\\JD@ENeaIJfi`H`hHrJIJYQ[IQIYRESJIJaaKKxF@Bfj`@eijj``@@	Compound 464	Glyburide		4.32	non-CNS	494.010	3.9494	-5.398	0.86922	8	3	364.48	0.56127	0.78531	33	475 <= x < 500	
enYPF@@@DIE@ddfUeUVYe}wVYU^hYFdeejjjjAfBbj@@@@@@@	Compound 465	Glycerol phenylbutyrate			non-CNS	530.659	7.0623	-6.096	7.0623	6	0	439.89	0.56246	0.63799	39	525 <= x < 550	
fjmpR@LBeA@\`BLddJbbRRqRRtzwej@@@Jj@@@	Compound 466	Glycodiazine		6.92	non-CNS	309.345	0.6025	-2.155	-0.0029838	7	1	230.36	0.54087	0.65205	21	300 <= x < 325	
fnkI@@DTeDBSKLljkOleVbDnVmSUATEQUD@@	Compound 467	Granisetron	9		CNS	312.416	1.7309	-3.212	0.11987	5	1	239.15	0.28685	0.8218	23	300 <= x < 325	
fewqb@BNcx\pRFQQQQQKIJJZZqQbkQCeoXHJbjZjjXf`X`@	Compound 468	Grepafloxacin	8.77	5.68	non-CNS	359.400	-0.8578	-4.042	-2.394	6	2	256.05	0.30638	0.94147	26	350 <= x < 375	
fak@r@BLMzOPQFQQQQIKJIJJEWdeZrvBHbjffjR`@@	Compound 469	Griseofulvin			non-CNS	352.769	2.3697	-3.962	2.3697	6	0	247.6	0.14961	0.97844	24	350 <= x < 375	
dg\`PIT{BHzHrJJIQUJLLADLtA@p	Compound 470	Guanabenz	8.18		non-CNS	231.086	3.0853	-4.462	2.9844	4	2	168.87	0.34933	0.59188	14	225 <= x < 250	
foAp`@EV\CBTtv{}admUUUTuTDT@@	Compound 471	Guanadrel sulfate	12.02		non-CNS	213.280	-0.2338	-2.384	-5.389	5	2	165.74	0.32946	0.62953	15	200 <= x < 225	
dg\`@@pfrQQEQIIG[UUUU@@	Compound 472	Guanethidine	12.24		non-CNS	198.313	0.6142	-1.773	-3.7554	4	2	174.15	0.60503	0.44158	14	175 <= x < 200	
doHPMmuBHzHrJJIQVYQa`HbYh@@	Compound 473	Guanfacine	8.65		CNS	246.096	1.5176	-3.743	1.5175	4	2	175.62	0.56274	0.64597	15	225 <= x < 250	
gCl@@ldsP@	Compound 474	Guanidine	12.55		non-CNS	59.0717	-1.7184	0.022	-6.8663	3	3	50.85	0	0	4	50 <= x < 75	
dcLF@@RiWTfV[UnZjjj@@	Compound 475	Gluconolactone		11.62	non-CNS	178.139	-2.8365	0.083	-2.8365	6	4	116.91	0.43193	0.74811	12	175 <= x < 200	
gGQ`@ZdruT@@	Compound 476	Glycerin		13.61	non-CNS	92.0935	-1.4436	0.159	-1.4436	3	3	72.57	0.79759	0.69315	6	75 <= x < 100	
fakQ@`AJRBHkHMdNrFQQISQIQSIIFRgMNbV@HZ`hFJb@@@	Compound 477	Halazepam			CNS	352.742	3.8752	-5.712	3.8752	3	0	242.94	0.36841	0.85157	24	350 <= x < 375	
dg\HHBBlFHNHnHRUVYuW[jB@h@@	Compound 478	Haloprogin			non-CNS	361.389	4.5492	-4.922	4.5492	1	0	199.36	0.14983	0.62953	14	350 <= x < 375	
gNpJAbJHLaYArBS]UURT@	Compound 479	Halothane			non-CNS	197.381	2.224	-2.564	2.224	0	0	89.51	0.7159	0.53648	7	175 <= x < 200	
ffc@p@@\eyI\bbbTTVLRVaSNJMGKPTQ@PQTDFT@@	Compound 480	Hesperetin		7.86	non-CNS	302.281	2.0857	-2.658	1.9702	6	3	214.84	0.29265	0.82315	22	300 <= x < 325	
fmopR@FJShu``BLdTbbJTRebdubRpsdhifnjjjYijh@J`@@	Compound 481	Hetacillin		3.63	non-CNS	389.475	-0.2339	-1.833	-4.0317	7	2	261.77	0.35816	0.96511	27	375 <= x < 400	
fbu@b`INADDbMQDXcLPdsMj}srpPTpPQTDDP@@@	Compound 482	Hexachlorophene		5.18	non-CNS	372.462	5.8141	-6.415	3.5891	2	2	236.58	0.51978	0.79871	20	350 <= x < 375	
ef]T@@D@F`IZgIIEDXhdddmbeHhXhddlHhxdEd\}BScSUU@D@PUUT@@@PP@@@	Compound 483	Hexafluronium			non-CNS	502.743	2.122	-6.946	2.122	2	0	393.9	0.43594	0.88922	38	500 <= x < 525	
