CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	
22195-34-2	Guanadrel sulfate	2-(1,4-dioxaspiro[4.5]decan-3-ylmethyl)guanidine sulfuric acid	MI, 13, 4575	Drugs. 1985 Jul 30(1):22-31	19.04.1968	1982	Yes	Not yet attributed											Blurred vision, Diarrhoea, Drowsiness, Erectile dysfunction, Fatigue, Headache, Oedema, Orthostatic hypotension, Paresthesia			Cardiovascular	Antihypertensive	elRVAH@ODlghTXDLBJABn`@cII@xiELlmhCEHieemAMG@nekoejjjjijjjjfj`@@								
5536-17-4	Vidarabine	(2R,3S,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	MI, 12, 10113	Drugs. 1980 Oct 20(4):267-82	07.08.1979	1984	Yes	J05AB03	EtOH/H2O 50/50				Topical (eye)						Occular irritation, Photophobia			Metabolism	Antiviral	fluhP@LF]EHIJudbbbbRTUVQJV\FMUUU@`UAHQDHjH@						0 - 10		
651-06-9	Sulfameter	4-amino-N-(5-methoxy-2-pyrimidinyl)benzenesulfonamide	MI, 12, 9083	Clin Pharmacol Ther. 1969 Jul-Aug 10(4):591-4	31.03.1976	1966	Yes	J01ED04	DMSO	Chemical classification (according ATC code)	Long-acting sulfonamide		Oral					500	Diarrhoea, Hypersensitivity reactions, Nausea, Vomiting			Infectiology, Metabolism	Antibacterial	fleIb@LBdFBH`BLddJbbRRvVtzwej@@@J`@@								
53-03-2	Prednisone	(8S,9S,10R,13S,14S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione	MI, 12, 7904	Clin Exp Rheumatol. 2011 Sep-Oct 29(5 Suppl 68):S42-5	30.12.1958	1954	Yes	H02AB07 	EtOH/H2O:50/50	Chemical classification (according ATC code)	Glucocorticoid		Oral			Liver		10	Acne, Euphoria, Gastrointestinal ulceration, Hypertension, Hypokalemia, Insomnia, Menstrual disturbances, Muscular atrophy, Weight gain	Nuclear receptor	Glucocorticoid receptor	Dermatology, Endocrinology, Immunology	Anti-inflammatory, Antipruritic, Immunosuppressant	fewAP@@Vkv^QQISQJFKIQJVZcEF|EIVejjfjjijjXqBaizAbX@		1 - 2			3.4 - 3.8			
71-81-8	Isopropamide iodide	(4-amino-4-oxo-3,3-diphenylbutyl)-methyl-di(propan-2-yl)azanium iodide	MI, 12, 5221	J Clin Invest. 1975 Mar 55(3):536-42	11.02.1958	1957	Yes	A03AB09	DMSO	Chemical classification (according ATC code)	Synthetic anticholinergic, quaternary ammonium compound		Oral					10	Constipation, Mouth dryness, Mydriasis			Metabolism	Antiulcer	fm{QBBLQ`BlAtYpISRJJIIIKZPqQrPyZj@H@`jj`@@								
66734-13-2	Alclometasone dipropionate	[2-[(7R,8S,9S,10R,11S,13S,14S,16R,17R)-7-chloro-11-hydroxy-10,13,16-trimethyl-3-oxo-17-propanoyloxy-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] propanoate	MI, 13, 219	J Int Med Res. 1982 10(6):414-8	04.01.1984	1982	Yes	D07AB10		Chemical classification (according ATC code)	Corticosteroid, moderately potent		Topical	Skin					Discoloration, Irritation, Pruritus, Rash			Metabolism	Anti-inflammatory	eb^PNH@GJaecghPHcHhheEDhhhdkLlhYlmLqqIxDedUUUUMUUMSLuSUTIADDQJIpaIHdd@@								
75706-12-6	Leflunomide	5-methyl-N-[4-(trifluoromethyl)phenyl]-1,2-oxazole-4-carboxamide	MI, 13, 5451	Acta Reumatol Port. 2006 Jul-Sep 31(3):215-24	17.09.1980	1998	Yes	L04AA13					Oral		Albumin	Liver		20	Diarrhoea, Dizziness, Hair loss, Headache, Hypertension, Leucopenia, Mouth ulcer, Paresthesia, Rash, Vomiting	Enzyme	Dihydroorotate dehydrogenase	Immunology	Immunosuppressant	flePc@EILDD`bPqHYEHXdleMEDJPTuP@TsTd@@			99		336	82 - 95	0.15	
797-63-7	Norgestrel-(-)-D	(8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	MI, 12, 6797	Int J Clin Pract. 2003 Nov 57(9):824-8	25.05.1976	1978	Yes	G03AC03		Therapeutic use	High dose for emergency contraception		Oral			Liver			Acne, Breast pain, Dizziness, Fatigue, Headache, Menstrual disturbances, Nausea, Weight gain	Nuclear receptor, Nuclear receptor	Estrogen receptor, Progesterone receptor	Endocrinology	Contraceptive	fnk@`@@YrJIJYJYJZIQFcIJlxJVfjjjjjnjXqBRhZNPT@		3			43	100		
356-12-7	Fluocinonide	6 alpha 9-Difluoro-11 beta 21-dihydroxy-16 alpha 17-(1-methylethylidene-dioxy)pregna-1,4-diene-3,20-dione	MI, 12, 4186	Int J Dermatol. 1979 Oct 18(8):660-4	16.04.1971	1971	Yes	D07AC04		Chemical classification (according ATC code), Pharmacokinetics	Corticosteroid, potent, Prodrug of Fluocinolone acetonide (Prestw-1419)		Topical	Skin					Hypersensitivity reactions, Skin dryness			Metabolism	Anti-inflammatory	el^PND@AFnimohPIAJPrJQRJJJHkKQKSYSSEQSsRqrKJjYZjjjfZjijfjfjjRAHKBDIRVKrYRi@@								
1981-58-4	Sulfamethazine sodium salt	sodium (4-aminophenyl)sulfonyl-(4,6-dimethylpyrimidin-2-yl)azanide	MI, 12, 9083	Regul Toxicol Pharmacol. 1999 Dec 30(3):217-22	05.09.1950	1949	Yes	J01EB03 	H2O	Chemical classification (according ATC code)	Short-acting sulfonamide		Oral		Plasmatic proteins			4000	Anorexia, Diarrhoea, Hypersensitivity reactions, Nausea, Vomiting			Infectiology, Metabolism	Antibacterial	fbeHaBLBdfB@AF]CGYgIIBhhddmDaiuoKT@@@U@@@			80 - 90		1.5 - 4			
93-14-1	Guaifenesin	(RS)-3-(2-methoxyphenoxy)propane-1,2-diol	MI, 12, 4582	Curr Allergy Asthma Rep. 2009 Mar 9(2):101-6	30.08.1983	2002	Yes	R05CA03	H2O, EtOH				Oral	GI tract		Liver		900	Epigastric misery, Nausea			Respiratory	Bronchodilator, Expectorant	dg\B@@Z[rQQJIQHb]APUDQQ@@								
22573-93-9	Alexidine dihydrochloride	Hexamethylene-bis[5-(2-ethylhexyl)biguanide] dihydrochloride	MI, 12, 231	J Dent Res. 1977 Nov 56(11):1349-58	03.06.1975	Preclinical		Not yet attributed	EtOH/H2O 50/50	New therapeutic use, Reference	Anti-cancer, Mol Cancer Ther. 2006 Sep 5(9):2234-40								Hypersensitivity reactions			Infectiology	Antibacterial	ef\U@D@DBJAINieck`HbBHPMeYvUWWUmmYWZijjjjjffjjh@@								
62-68-0	Proadifen hydrochloride	2-(diethylamino)ethyl 2,2-diphenylpentanoate hydrochloride		Br J Pharmacol. 2009 Jul:157(5):804-17	27.03.1979			Not yet attributed														Neuromuscular	Local anesthetic	fm{`b@OPpBHpIQJQJJIIIIQXjO\cZjh@h@jB`@@								
64092-48-4	Zomepirac sodium salt	5-(4-Chlorobenzoyl)-1,4-dimethyl-1H-pyrrole-2-acetate sodium	MI, 12, 10322	Drugs. 1982 Apr 23(4):250-75	07.04.1981	1980		M01AB04		Chemical classification (according ATC code), Therapeutic classification (according ATC code)	Acetic acid derivative, NSAID		Oral					300	Dizziness, Gastrointestinal ulceration, Urinary troubles	Enzyme	Cyclooxygenase	Metabolism	Anti-inflammatory	fjuaaBEBSdDPWPsqYrJIKJZJJJjBcCN`@ffjia@@								
130-61-0	Thioridazine hydrochloride	10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfanylphenothiazine hydrochloride	MI, 13, 9435	Ann Clin Psychiatry. 2000 Sep 12(3):147-51	08.03.1966	1958	Yes	N05AC02	EtOH, H2O	Chemical classification (according ATC code), New therapeutic use, Reference	Phenothiazine derivative, Potential antibacterial, Acta Med Port. 2012 Mar-Apr 25(2):118-21		Oral		Plasmatic proteins	Liver		300	Blurred vision, Constipation, Drowsiness, Erectile dysfunction, Mouth dryness, Mydriasis, Orthostatic hypotension, Sedation, Tachycardia, Urinary troubles			Central Nervous System	Antipsychotic	fegPC@AEADPBHaBCLsJk{k\kAJ\[pyt@PAAUUUPTDt@@			95		4 - 10			
28657-80-9	Cinoxacin	1-ethyl-4-oxo-1H,4H,7H-[1,3]dioxolo[4,5-g]cinnoline-3-carboxylic acid	MI, 12, 2369	Drugs. 1983 Jun 25(6):544-69	11.12.1970	1985	Yes	J01MB06	DMSO	Chemical classification (according ATC code)	Quinolone		Oral		Plasmatic proteins	Liver		1000	Diarrhoea, Hypersensitivity reactions, Nausea, Seizure, Tendinitis			Infectiology, Metabolism	Antibacterial	fluQP@BBAIWhyEEEDhdbddpQgQRtpSAEUD@@			60		2.5 - 3		0.45	
25122-46-7	Clobetasol propionate	[17-(2'-chloroacetyl)- 9-fluoro-11-hydroxy-10,13,16-trimethyl- 3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate	MI, 12, 2423	Drugs Today (Barc). 2008 Jul 44(7):547-57	05.09.1969	1978	Yes	D07AD01 		Chemical classification (according ATC code)	Corticosteroid, very potent		Topical	Skin					Burning, Irritation, Pruritus, Skin dryness			Metabolism	Anti-inflammatory	e`\PJD@LJGJo`HajPrISRIRJJIMQZHrY[RFQYCSWOTuUUSUUUUKMTHPfEpiHEHieNd@@						0.1		
518-28-5	Podophyllotoxin	(5R,5aR,8aR,9R)-5-hydroxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one	MI, 12, 7704	Curr Med Chem. 2009 16(3):327-49	27.02.1969	1985		D06BB04	H2O, EtOH, CHCl3				Topical	Skin					Erythema, Mucosal irritation			Metabolism	Antiviral	egdPA@@@DGBjnamlbbTtRbbRRrTRRRiCDb`VRSPtsUUPA@AQUUTDQ`jHpiD@@					1 - 4.5			
882-09-7	Clofibric acid	2-(4-Chlorophenoxy)-2-methyl-propanoic acid	MI, 12, 2437	Mol Cancer Ther. 2007 Apr 6(4):1379-86	28.12.1976	1967	Yes	Not yet attributed	EtOH/H2O 50/50										Arrhythmia, Bronchospasm, Epigastric misery, Nausea			Metabolism	Antilipemic	dg\L`NNpbDfUuijZ@Bjf@@								
73-48-3	Bendroflumethiazide	3-benzyl-1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1,2,4- benzothiadiazine-7-sulfonamide	MI, 12, 1064	Clin Pharmacol Ther. 1980 Dec 28(6):751-8	22.03.1961	1960	Yes	C03AA01	EtOH/H2O 50/50	Chemical classification (according ATC code), Therapeutic classification (according ATC code)	Thiazide, Low-ceiling diuretic		Oral	GI tract	Plasmatic proteins			2,5	Hyperglycemia, Hypersensitivity reactions, Hypokalemia, Hypotension, Orthostatic hypotension, Uricemia	Carrier	Solute carrier family 12 member 3	Cardiovascular	Antihypertensive, Diuretic	fmwpR`LBKAB\`BGAGY@\aNPrRPjJIYIQJQIRU`mVZmZ`hH`e`jHHTh@@		3 - 4	90					
66-76-2	Dicumarol	4-hydroxy-3-[(4-hydroxy-2-oxochromen-3-yl)methyl]chromen-2-one	MI, 12, 3140	Clin Appl Thromb Hemost. 2001 Oct 7(4):269-75	21.09.1960	1955	Yes	B01AA01	Alkaline solution	New therapeutic use, Reference, Therapeutic classification (according ATC code)	Antioxidant, Free Radic Biol Med. 1991 11(1):77-80, Vitamin K antagonist (VKA)		Oral					100	Confusion, Diarrhoea, Dizziness, Dyspnea, Nausea			Hematology	Anticoagulant	fig@p@@HdFJ\bbTTRRtVbarRipwlezMjXJBQj`B@@@								
60-56-0	Methimazole	1-methyl-3H-imidazole-2-thione	MI, 12, 6049	Expert Opin Drug Saf. 2006 Jan 5(1):107-16	10.04.1979	1950	Yes	H03BB02	EtOH, CHCl3	Chemical classification (according ATC code), Pharmacokinetics	Sulfur-containing imidazole derivative, Active metabolite of Carbimazole (Prestw-439)		Oral		Plasmatic proteins	Thyroid		10	Arthralgia, Hypersensitivity reactions, Pruritus, Rash	Enzyme	Thyroid peroxidase	Endocrinology		gOtHE`DILl[MT`@		0.4 - 1.2	0 - 3		3 - 6			
129-16-8	Merbromin	(2',7'-dibromo-3',6'-dioxido-3-oxospiro[2-benzofuran-1,9'-xanthene]-4'-yl)mercury hydrate disodium	MI, 12, 5914	Toxicol Ind Health. 2002 Apr 18(3):109-60	06.09.1960	1971		D08AK04		Chemical classification (according ATC code)	Mercurial product		Topical	Skin					Hypersensitivity reactions, Skin coloration			Infectiology	Antibacterial	eohPFJBHJNONa`@hsDvqKmA{Px{kki^gIMEEDieMLdhdddPAEMKDflbecjBHb`hHBP`bHMJ@@								
532-76-3	Hexylcaine hydrochloride	1-(cyclohexylamino)propan-2-yl benzoate hydrochloride	MI, 13, 4728	Anesthesiology. 1979 Mar 50(3):221-6.	18.05.1976		Yes	Not yet attributed	H2O										Dyspnea, Headache, Seizure, Tinnitus	Ion channel	Voltage-gated sodium channel	Dermatology	Anesthetic	fbe`b@CPpBHPVVYW~UuYNVhJBJjbaR`@								
548-66-3	Drofenine hydrochloride	2-(diethylamino)ethyl 2-cyclohexyl-2-phenylacetate hydrochloride	MI, 12, 3501	Arch Biochem Biophys. 2001 Feb 1 386(1):25-9	13.12.1988			Not yet attributed	H2O													Neuromuscular	Antispastic	fac`b@KPpBHPVVVYUV__EcUjjBhJhjJAB@@								
62-97-5	Diphemanil methylsulfate	4-benzhydrylidene-1,1-dimethylpiperidin-1-ium methyl sulfate	MI, 12, 3361	J Pharmacol Exp Ther. 1981 Jan 216(1):1-5	09.06.1959	1976	Yes	A03AB15 	H2O	Chemical classification (according ATC code)	Synthetic anticholinergic, quaternary ammonium compound		Parenteral						Arrhythmia, Blurred vision, Bradycardia, Constipation, Dizziness, Hypotension			Gastroenterology	Antispastic, Antiulcer	fmg`RBFPQ``@`gLgIIBCIDceEEDdecV[LZujjjf`@@B@@@		3 - 8			6 - 35			
66-81-9	Cycloheximide	4-[(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione	MI, 12, 2797	Neoplasma. 1978 25(3):317-27	13.11.1951			Not yet attributed	EtOH, MeOH, CHCl3													Infectiology	Antibacterial	fbu`P@D`EGNQQQQQUJYJIb`iZjjjjfZHaXQDi@@								
23979-41-1	(R) -Naproxen sodium salt	(2R)-2-(6-methoxynaphthalen-2-yl)propanoate sodium	MI, 12, 6504	Headache. 2010 May 50(5):808-18	22.07.1975	1976	Yes	M01AE02		Chemical classification (according ATC code), Therapeutic classification (according ATC code)	Propionic acid derivative, NSAID		Oral	GI tract	Plasmatic proteins	Liver	Demethyl-naproxen	500	Bronchospasm, Epigastric misery, Gastrointestinal ulceration, Kidney deficiency	Enzyme	Cyclooxygenase	Metabolism	Anti-inflammatory	fdiAbBHXBCPANNPVym[WUZ]yj`@@JBAH@		1	99		13 - 15			
25535-16-4	Propidium iodide	3-(3,8-diamino-6-phenylphenanthridin-5-ium-5-yl)propyl-diethyl-methylazanium diiodide		Methods Mol Biol. 2007 399:15-29	31.10.1979			Not yet attributed														Infectiology	Antibacterial	ehTR@DBDNae`JrBl@zCdIFg@MHhheEDdddddeYJaM@flijm`bB@@`@hbj`@@@								
14984-68-0	Cloperastine hydrochloride	1-[2-[(4-chlorophenyl)-phenylmethoxy]ethyl]piperidine hydrochloride	MI, 12, 2456	Ther Clin Risk Manag. 2011 7:83-92	16.12.1975			R05DB21					Oral	GI tract				60	Constipation, Drowsiness, Hypersensitivity reactions, Mouth dryness, Nausea			Respiratory	Antitussive	fasaA@@bAD]bDfUvVUWmRcOQjv@BjBBJjBap`@								
536-93-6	Eucatropine hydrochloride	(1,2,2,6-tetramethylpiperidin-4-yl) 2-hydroxy-2-phenylacetate hydrochloride	MI, 12, 3943	Br J Ophthalmol. 1969 June  53(6): 428-429	19.01.1988			Not yet attributed	H2O, EtOH, CHCl3													Neuromuscular, Ophthalmology	Antiglaucoma	ffmab@@pppDP`llwJkR}`~JuUPTETT@@@								
59-63-2	Isocarboxazid	N'-benzyl-5-methyl-1,2-oxazole-3-carbohydrazide	MI, 13, 5174	Am J Psychiatry. 1983 Jun 140(6):792-4	13.10.1959	1960	Yes	N06AF01	Hot H2O, EtOH				Oral					15	Blurred vision, Constipation, Dizziness, Drowsiness, Headache, Insomnia, Mouth dryness, Nausea, Orthostatic hypotension, Sedation, Tremor, Urinary troubles	Enzyme	Monoamine oxidase	Central Nervous System	Antidepressant	fhip`@DDh@RSKJnvhi^BuMSP@P@@								
434-13-9	Lithocholic acid	(4R)-4-[(3R,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid	MI, 12, 5571	Drug Metab Rev. 2004 Oct 36(3-4):703-22	05.11.1974	Preclinical		Not yet attributed	Hot EtOH										Cough, Dizziness, Dysphonia, Epigastric misery, Mouth ulcer, Nausea, Rash, Sweat, Tachycardia, Urinary troubles			Metabolism	Cholagogue, Choleretic	fmoA`@@HWdTrTTtbRLrTfVrk^CdhymUUUUUUUUURhfHRUGPJRbj\@@								
7104-38-3	Methotrimeprazine maleat salt	(2R)-3-(2-methoxyphenothiazin-10-yl)-N,N,2-trimethylpropan-1-amine (Z)-but-2-enedioic acid	MI, 12, 6066	Curr Med Res Opin. 2004 Dec 20(12):1877-81	07.12.1982	1957	Yes	N05AA02		Chemical classification (according ATC code)	Phenothiazine derivative		Oral			Liver	Actif (demethyl derivative)	300	Asthenia, Diabetes, Extrapyramidal syndrome, Hypotension, Mouth dryness, Somnolence, Tachycardia	GPCR	Dopamine D2 receptor	Central Nervous System	Analgesic, Antiemetic, Sedative	eo`TJH@NB`nikg`@cIEEEDdelmDc@ULeJNIKMGJ@H@`jjiif``|dDr@		1 - 3		50	15 - 80			
84-17-3	Dienestrol	4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol	MI, 12, 3153	BMC Cancer. 2009 Oct 7 9:358	22.04.1947	1947	Yes	G03CB01	MeOH, EtOH, CH3COCH3, CHCl3				Oral					2,5	Depression, Diabetes, Dizziness, Migraine, Nausea, Occular irritation	Nuclear receptor	Estrogen receptor	Endocrinology		fbu@`@@YRYWYeg_hrJX@JY``H@HDj`								
6856-31-1	Pridinol methanesulfonate salt	1,1-diphenyl-3-piperidin-1-ylpropan-1-ol methanesulfonic acid	MI, 12, 7922	Int J Clin Pharmacol Res. 1986 6(6):501-7	05.01.1982			M03BX03											Drowsiness, Hypotension, Nausea			Central Nervous System	Antiparkinsonian	fmg`R@LpQb`@cII@uHhhdddmhT`eSVZujj@H@`jhH@@								
137-88-2	Amprolium hydrochloride	1-([4-Amino-2-propyl-5-pyrimidinyl]methyl)-2-methylpyridinium chloride	MI, 12, 631	J Parasit Dis. 2013 Apr 37(1):88-93	12.10.1965	1992		QP51AX09	H2O, MeOH, EtOH, DMF	Veterinary use	Poultry		Oral						Thiamine deficiency, Weight gain			Infectiology, Metabolism	Anticoccidial, Antiparasitic	fbyHABDV]xDQBHarIpCRJIHsQHiBUxHQD@PU@@@						0 - 15		
554-92-7	Trimethobenzamide hydrochloride	N-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4,5-trimethoxybenzamide	MI, 13, 9781	J Clin Pharmacol. 1980 May-Jun 20(5-6 Pt 1):352-6	24.03.1959	1959	Yes	Not yet attributed	H2O				Oral						Blurred vision, Diarrhoea, Dizziness, Drowsiness, Headache, Myalgia			Central Nervous System	Antiemetic	fkwQR@LKa[v^`bLBTRbRTTRRRQvRTTzMVhH@bBhjj`@@		1 - 2			7 - 15			
60719-84-8	Amrinone	3-amino-5-pyridin-4-yl-1H-pyridin-2-one	MI, 13, 597	J Cardiothorac Anesth. 1989 Dec 3(6 Suppl 2):45-57	28.04.1981	1983	Yes	C01CE01 					Parenteral		Plasmatic proteins	Liver		500	Arrhythmia, Hypotension, Nausea, Thrombopenia	Enzyme	Phosphodiesterases	Cardiovascular		dgH@DjprJIQEQIMqvuRp@P@@			10 - 22		4 - 6			
3505-38-2	Carbinoxamine maleate salt	2-[(4-chlorophenyl)-pyridin-2-ylmethoxy]-N,N-dimethylethanamine but-2-enedioic acid	MI, 12, 1845	Arzneimittelforschung. 1995 Sep 45(9):1009-12	14.02.1967	1974	Yes	R06AA08	H2O, EtOH, CHCl3	Chemical classification (according ATC code)	Aminoalkyl ether							16	Confusion, Dizziness, Drowsiness, Epigastric misery, Headache, Hypersensitivity reactions, Hypotension, Motor incoordination, Mouth dryness, Palpitations, Photosensitization, Sedation, Sweat, Tachycardia, Urinary troubles	GPCR	Histamine H1 receptor	Allergology, Metabolism	Antihistaminic	fcgQR@MADUj}`bLbbRrbTRRV`jfReF^c@AUAAEMLpPyQAj@								
554-57-4	Methazolamide	N-(3-methyl-5-sulfamoyl-1,3,4-thiadiazol-2-ylidene)acetamide	MI, 12, 6031	Curr Pharm Des. 2008 14(7):649-54	26.02.1957	1959	Yes	S01EC05					Oral	GI tract	Plasmatic proteins			200	Blurred vision, Confusion, Diarrhoea, Drowsiness, Fatigue, Hepatotoxicity, Hypersensitivity reactions, Kidney stone, Nausea, Paresthesia, Photosensitization, Taste alteration, Tinnitus, Urinary troubles	Enzyme	Carbonic anhydrase	Metabolism, Ophthalmology	Antiglaucoma, Diuretic	dg\lPLXYaC@HhHrRRqIIZ\JuMMM@@		1 - 2	55		14			
77-04-3	Pyrithyldione	3,3-diethyl-1H-pyridine-2,4-dione	MI, 12, 8179	Eur J Clin Pharmacol. 2000 Jan 55(10):761-4	30.01.1962	Withdrawn		N05CE03	H2O									200	Agranulocytosis			Central Nervous System	Hypnotic, Sedative	dcND@DBTfVeVaZjej@@								
21736-83-4	Spectinomycin dihydrochloride	(1R,3S,5R,8R,10R,11S,12S,13R,14S)-8,12,14-trihydroxy-5-methyl-11,13-bis(methylamino)-2,4,9-trioxatricyclo[8.4.0.0^{3,8}]tetradecan-7-one	MI, 12, 8890	Med Clin North Am. 1982 Jan 66(1):169-73	04.01.1972	1971	Yes	J01XX04					Parenteral		Plasmatic proteins			3000	Dizziness, Fever, Headache, Insomnia, Nausea, Rash			Infectiology, Metabolism	Antibacterial	fisQq@H}PsfcYZBHaDXAeEHeheJhhecHvgIJuUUUUUUURIAJRUGKtCDhl@@		1	0 - 5		1.25			
19562-30-2	Piromidic acid	8-ethyl-5-oxo-2-pyrrolidin-1-ylpyrido[2,3-d]pyrimidine-6-carboxylic acid	MI, 12, 7660	J Antimicrob Chemother. 1986 Jun 17(6):811-4	24.08.1971			J01MB03 		Chemical classification (according ATC code)	Quinolone		Oral					2000	Diarrhoea, Hypersensitivity reactions, Nausea, Photosensitization			Infectiology, Metabolism	Antibacterial	fj}I`@EZLD@iYEEEEDdUehdqQgYJuHMAEUTP@@								
521-78-8	Trimipramine maleate salt	3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N,2-trimethylpropan-1-amine (Z)-but-2-enedioic acid	MI, 12, 9852	Drugs. 1989 38 Suppl 1:17-24	04.02.1959	1961	Yes	N06AA06	CHCl3, H2O, EtOH			Yes	Oral		Plasmatic proteins	Liver	Active (Desmethylimipramine)	150	Constipation, Drowsiness, Galactorrhoea, Gynecomastia, Hot flushes, Hypersensitivity reactions, Mouth dryness, Orthostatic hypotension, Suicide, Weight gain			Central Nervous System	Antidepressant	fgPP@A[@agLbfR`LbbbTRbTQMbZyfu[SMT@QAEAUA@MDLH			98		24			
6170-42-9	Chloropyramine hydrochloride	N'-[(4-chlorophenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine hydrochloride	MI, 12, 2214	J Med Chem. 2009 Aug 13 52(15):4716-24	25.09.1951	Preclinical		R06AC03		Chemical classification (according ATC code)	Substituted ethylene diamine		Oral					150	Blurred vision, Dizziness, Mouth dryness, Somnolence	GPCR	Histamine H1 receptor	Allergology	Antihistaminic	fjupA@AZBBHKDILkkLjoEF^c@AUAAE@@@								
67-45-8	Furazolidone	3-[(E)-(5-nitrofuran-2-yl)methylideneamino]-1,3-oxazolidin-2-one	MI, 12, 4320	Vet Res Commun. 1999 Oct 23(6):343-60	21.08.1956	1961	Yes	G01AX06	H2O				Topical			Liver			Antabuse effect, Dizziness, Drowsiness, Headache, Hypersensitivity reactions, Hypoglycemia, Nausea, Urine coloration			Metabolism		f`qqPBHRTAAKNaJNR[e]YegG^ZfijZX@@						0 - 10		
120-97-8	Dichlorphenamide	4,5-dichlorobenzene-1,3-disulfonamide	MI, 12, 3127	Acta Neurol Belg. 1978 May-Jun 78(3):174-82	20.05.1958	1958	Yes	S01EC02	Alkaline solution									100	Confusion, Drowsiness, Haemorrhage, Headache, Nausea, Paresthesia, Urinary troubles	Enzyme	Carbonic anhydrase	Ophthalmology	Antiglaucoma	f`aPP`M^djs`QAHa`PXHrJJJYRZr\EADBtl@@@								
443-48-1	Metronidazole	2-(2-methyl-5-nitro-1H-imidazol-1-yl)ethan-1-ol	MI, 12, 6242	Clin Infect Dis. 2010 Jan 1 50 Suppl 1:S16-23	05.07.1960	1960	Yes	P01AB01	HCl, CH3COOH	Chemical classification (according ATC code)	Nitroimidazole derivative	Yes	Oral	GI tract	Plasmatic proteins	Liver		2000	Antabuse effect, Diarrhoea, Dizziness, Drowsiness, Epigastric misery, Glossitis, Hallucinations, Headache, Hypersensitivity reactions, Nausea, Urine coloration			Infectiology, Metabolism	Antiamebic, Antibacterial, Antiprotozoal	dcOLAHHPSXeNrJZJIHlKTuUH@@		1	15 - 20	100	8 - 10	80	0.65	
61318-91-0	Sulconazole nitrate	1-[2-[(4-chlorophenyl)methylsulfanyl]-2-(2,4-dichlorophenyl)ethyl]imidazole nitric acid	MI, 12, 9062	Drugs. 1988 Feb 35(2):143-53.	19.03.1976	1985	Yes	D01AC09		Chemical classification (according ATC code)	Imidazole derivative		Topical	Skin					Burning, Erythema, Pruritus, Skin dryness			Metabolism	Antifungal	fcwq`bCIfM^pQ@`aTQvHgN~rJJIJKKJJIIGCJLxgMVpDEUU@hDtQBa@@						1		
15826-37-6	Cromolyn disodium salt	5-[3-(2-carboxylato-4-oxochromen-5-yl)oxy-2-hydroxypropoxy]-4-oxochromene-2-carboxylate disodium	MI, 12, 2658	Drug Intell Clin Pharm. 1987 Jan 21 :22-35.	12.03.1969	1967	Yes	R03BC01	H2O	Therapeutic classification (according ATC code)	Anticholinergic		Ocular, Oral, Nasal				None	40	Arthralgia, Diarrhoea, Nausea, Pruritus			Allergology, Metabolism, Respiratory	Antiasthmatic, Anti-inflammatory	ebZPMDBDIM@hljcgd\PMBCP@fBXnq{@LhheEEeicLeEDhhRhIHXym||BtCDQMUPPMCMA@@@						0 - 15		
